INFO  2009-05-11T16:06:00,462 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[] created [main]
INFO  2009-05-11T16:06:01,350 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-exit-ext execution:net.sf.vanadis.extrt.QuitExecution@17e2c93c] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@90bfee3] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@7baad71] [main]
INFO  2009-05-11T16:06:01,351 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-reload execution:net.sf.vanadis.extrt.ReloadExecution@2419f11e] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@2324fb16] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@503e07a2] [main]
INFO  2009-05-11T16:06:01,352 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-launch execution:net.sf.vanadis.extrt.LaunchExecution@5e517550] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@5152a09f] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@19b4ac28] [main]
INFO  2009-05-11T16:06:01,354 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-install execution:net.sf.vanadis.extrt.InstallFromRepoExecution@3f15f21b] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@39c9eaf8] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@f1bb79c] [main]
INFO  2009-05-11T16:06:01,355 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-exit-system execution:net.sf.vanadis.extrt.SystemExitExecution@49d71441] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@4772dd46] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@4a87bd1c] [main]
INFO  2009-05-11T16:06:01,356 net.sf.vanadis.osgi.impl.OSGiContext: OSGiContext[name:net.sf.vanadis.extrt home:file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/ @localhost:50000] registered OSGiRegistration[GenericCommand[v-restart-ext execution:net.sf.vanadis.extrt.RestartExecution@16515bb7] prop:ServiceProperties[[net.sf.vanadis.ext.Command]:MapPropertySet[[objectClass=[Ljava.lang.String;@375c56d3] writable:false]] reg:org.apache.felix.framework.ServiceRegistrationImpl@4d95d3aa] [main]
INFO  2009-05-11T16:06:01,356 net.sf.vanadis.extrt.FrameworkExtenderBundleActivator: FrameworkExtenderBundleActivator[FrameworkExtender[ConcurrentInvocationHandler[thread:Thread[SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/],5,main] dispatch:ThreadedDispatch[timeout:30 seconds thread:Thread[SystemEvents[Location[localhost:50000]@file:/Users/kjetil/Development/svn/vanadis/trunk/vanadis/],5,main] depth:8]]]] activated [main]
DEBUG 2009-05-11T16:06:01,407 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:0] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.commands version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.commands/1.1-SNAPSHOT/net.sf.vanadis.modules.commands-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,407 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:1] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis.modules artifactId:net.sf.vanadis.modules.felixcmds version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/modules/net.sf.vanadis.modules.felixcmds/1.1-SNAPSHOT/net.sf.vanadis.modules.felixcmds-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
DEBUG 2009-05-11T16:06:01,408 net.sf.vanadis.osgi.impl.OSGiMediator: OSGiMediator[class net.sf.vanadis.blueprints.BundleSpecification tracker:2] forwarded BundleSpecification[Coordinate[groupId:net.sf.vanadis artifactId:net.sf.vanadis.deployer version:Version[1.1-SNAPSHOT] type:jar] uri:file:/Users/kjetil/.m2/repository/net/sf/vanadis/net.sf.vanadis.deployer/1.1-SNAPSHOT/net.sf.vanadis.deployer-1.1-SNAPSHOT.jar level:null] from [net.sf.vanadis.blueprints.BundleSpecification] [main]
